"n","c_depth","disp","rep","method","n_taxa","n_fail","fdr","tpr","rej_null","rej_prev_only","rej_abund_only","rej_both"
100,4,"nb",1,"depthcov",299,0,0,0,0.0504201680672269,0.36,0.105263157894737,0.529411764705882
100,4,"nb",1,"jzi_prev",299,0,0,0.166666666666667,0.0420168067226891,0.4,0,0.647058823529412
100,4,"nb",1,"jzi_abund",299,0,0.36,0.444444444444444,0.092436974789916,0.08,0.578947368421053,0.647058823529412
100,4,"nb",1,"zinb",290,9,0,0,0.0303030303030303,0.28,0,0.470588235294118
100,4,"nb",1,"abund_lm_depth",295,4,0,0.0285714285714286,0.0893617021276596,0.08,0.166666666666667,0.411764705882353
20,1,"nb_pure",1,"naive",262,0,0,0,0.0280373831775701,0.0666666666666667,0.0526315789473684,0.0714285714285714
20,1,"nb_pure",1,"depthcov",262,0,0,0,0.0280373831775701,0.0666666666666667,0.0526315789473684,0.0714285714285714
20,1,"nb_pure",1,"jzi_prev",262,0,0,0,0.0373831775700935,0.133333333333333,0.0526315789473684,0.142857142857143
20,1,"nb_pure",1,"jzi_abund",262,0,0.333333333333333,0.121212121212121,0.135514018691589,0.133333333333333,0.526315789473684,0.285714285714286
20,1,"nb_pure",1,"zinb",0,262,0,NA,NA,NA,NA,NA
20,1,"nb_pure",1,"abund_lm_depth",200,62,0.5,0.0454545454545455,0.0764705882352941,0,0.153846153846154,0.333333333333333
50,1,"nb_pure",1,"naive",289,0,0,0.0263157894736842,0.0376569037656904,0.454545454545455,0.0833333333333333,0.1875
50,1,"nb_pure",1,"depthcov",289,0,0,0.0263157894736842,0.0418410041841004,0.454545454545455,0.0833333333333333,0.1875
50,1,"nb_pure",1,"jzi_prev",289,0,0,0.131578947368421,0.0292887029288703,0.409090909090909,0.0833333333333333,0.25
50,1,"nb_pure",1,"jzi_abund",289,0,0,0.142857142857143,0.0543933054393305,0,0.75,0.375
50,1,"nb_pure",1,"zinb",283,6,0,0.0277777777777778,0.0127118644067797,0.380952380952381,0.0909090909090909,0.133333333333333
50,1,"nb_pure",1,"abund_lm_depth",276,13,0,0.0384615384615385,0.0393013100436681,0.0952380952380952,0.545454545454545,0.4
100,1,"nb_pure",1,"naive",297,0,0.0769230769230769,0.272727272727273,0.0297872340425532,0.529411764705882,0.388888888888889,0.62962962962963
100,1,"nb_pure",1,"depthcov",297,0,0.0769230769230769,0.272727272727273,0.0297872340425532,0.529411764705882,0.388888888888889,0.62962962962963
100,1,"nb_pure",1,"jzi_prev",297,0,0,0.159090909090909,0.0425531914893617,0.588235294117647,0,0.444444444444444
100,1,"nb_pure",1,"jzi_abund",297,0,0.0909090909090909,0.444444444444444,0.0723404255319149,0.117647058823529,0.777777777777778,0.703703703703704
100,1,"nb_pure",1,"zinb",294,3,0,0.136363636363636,0.0129310344827586,0.352941176470588,0,0.333333333333333
100,1,"nb_pure",1,"abund_lm_depth",294,3,0,0.311111111111111,0.0603448275862069,0.117647058823529,0.611111111111111,0.62962962962963
20,4,"nb_pure",1,"naive",261,0,0,0,0.0714285714285714,0.181818181818182,0.0555555555555556,0.272727272727273
20,4,"nb_pure",1,"depthcov",261,0,0,0,0.00476190476190476,0,0,0
20,4,"nb_pure",1,"jzi_prev",261,0,0,0,0.0333333333333333,0.227272727272727,0.0555555555555556,0.0909090909090909
20,4,"nb_pure",1,"jzi_abund",261,0,0.375,0.172413793103448,0.1,0.0454545454545455,0.277777777777778,0.636363636363636
20,4,"nb_pure",1,"zinb",0,261,0,NA,NA,NA,NA,NA
20,4,"nb_pure",1,"abund_lm_depth",209,52,0,0,0.0409356725146199,0.0714285714285714,0.0666666666666667,0
50,4,"nb_pure",1,"naive",296,0,0.444444444444444,0.131578947368421,0.189075630252101,0.210526315789474,0.1,0.473684210526316
50,4,"nb_pure",1,"depthcov",296,0,0,0,0.0168067226890756,0.105263157894737,0.05,0.157894736842105
50,4,"nb_pure",1,"jzi_prev",296,0,0.25,0.0789473684210526,0.0546218487394958,0.368421052631579,0,0.315789473684211
50,4,"nb_pure",1,"jzi_abund",296,0,0.0833333333333333,0.282051282051282,0.0420168067226891,0.157894736842105,0.55,0.631578947368421
