"n","c_depth","disp","rep","method","n_taxa","n_fail","fdr","tpr","rej_null","rej_prev_only","rej_abund_only","rej_both"
50,4,"poisson",1,"occ_full",294,0,0,0.151515151515152,0.0946502057613169,0.478260869565217,0.111111111111111,0.4
50,4,"poisson",1,"occ_cal",294,0,0,0.151515151515152,0.0740740740740741,0.391304347826087,0,0.2
50,4,"poisson",1,"abund_trunc",283,11,0.473684210526316,0.37037037037037,0.119148936170213,0.0952380952380952,0.647058823529412,0.8
50,4,"poisson",1,"occ_trunc",294,0,0,0.0909090909090909,0.0823045267489712,0.434782608695652,0.111111111111111,0.4
50,4,"poisson",1,"abund_ztnb",283,11,0.25,0.222222222222222,0.102127659574468,0.142857142857143,0.588235294117647,0.6
50,4,"poisson",1,"occ_ztnb",283,11,0,0.0645161290322581,0.0765957446808511,0.428571428571429,0.117647058823529,0.3
50,4,"poisson",1,"lm_pseudo",294,0,0.933333333333333,0.285714285714286,0.481481481481481,0.652173913043478,0.5,0.3
50,4,"poisson",1,"lm_pseudo_depth",294,0,0,0,0.0329218106995885,0.260869565217391,0.0555555555555556,0.1
50,4,"poisson",1,"abund_lm_depth",283,11,0,0,0.0851063829787234,0,0.352941176470588,0.2
50,4,"poisson",1,"zip",290,4,0,0,0.05,0.391304347826087,0.117647058823529,0.2
50,4,"poisson",1,"lm_pseudo_mc",294,0,0.818181818181818,0.142857142857143,0.139917695473251,0.608695652173913,0.388888888888889,0.3
100,4,"poisson",1,"naive",299,0,0.509433962264151,0.565217391304348,0.273913043478261,0.769230769230769,0.260869565217391,0.6
100,4,"poisson",1,"depthcov",299,0,0,0,0.0608695652173913,0.153846153846154,0.130434782608696,0.15
100,4,"poisson",1,"er_lm",299,0,0.28,0.391304347826087,0.0434782608695652,0.576923076923077,0.478260869565217,0.55
100,4,"poisson",1,"abund_lm",299,0,0.604938271604938,0.744186046511628,0.343478260869565,0.346153846153846,0.91304347826087,0.75
100,4,"poisson",1,"occ_depth",299,0,0.173913043478261,0.41304347826087,0.0652173913043478,0.730769230769231,0.260869565217391,0.65
100,4,"poisson",1,"occ_full",299,0,0.324324324324324,0.543478260869565,0.143478260869565,0.769230769230769,0.217391304347826,0.65
100,4,"poisson",1,"occ_cal",299,0,0.2,0.173913043478261,0.0956521739130435,0.576923076923077,0.0434782608695652,0.45
100,4,"poisson",1,"abund_trunc",299,0,0.380952380952381,0.604651162790698,0.208695652173913,0.230769230769231,0.956521739130435,0.65
100,4,"poisson",1,"occ_trunc",299,0,0.28125,0.5,0.126086956521739,0.730769230769231,0.173913043478261,0.65
100,4,"poisson",1,"abund_ztnb",299,0,0.1,0.418604651162791,0.11304347826087,0.115384615384615,0.652173913043478,0.45
100,4,"poisson",1,"occ_ztnb",299,0,0.2,0.347826086956522,0.104347826086957,0.653846153846154,0.217391304347826,0.5
100,4,"poisson",1,"lm_pseudo",299,0,0.822660098522167,0.837209302325581,0.678260869565217,0.653846153846154,0.782608695652174,0.9
100,4,"poisson",1,"lm_pseudo_depth",299,0,0,0,0.0478260869565217,0.269230769230769,0.217391304347826,0.35
100,4,"poisson",1,"abund_lm_depth",299,0,0,0.0697674418604651,0.0478260869565217,0.0384615384615385,0.434782608695652,0.2
100,4,"poisson",1,"zip",299,0,0.363636363636364,0.456521739130435,0.130434782608696,0.653846153846154,0.217391304347826,0.55
100,4,"poisson",1,"lm_pseudo_mc",299,0,0.770114942528736,0.465116279069767,0.317391304347826,0.846153846153846,0.391304347826087,0.75
20,1,"nb",1,"naive",246,0,0,0,0.0152284263959391,0.0526315789473684,0.111111111111111,0.166666666666667
20,1,"nb",1,"depthcov",246,0,0,0,0.0152284263959391,0.0526315789473684,0.111111111111111,0.166666666666667
