"pi1","balance","comm","bloom","effect","rep","method","n_eval","shift","bias_null","rmse_all","type1","power","fdr","tpr","ci_cov","ref_purity"
0.4,"balanced","even",TRUE,"fixed",1,"huber",300,0.0747572123334557,0.00779645958216237,0.222548470270105,0.0446927374301676,0.983471074380165,0.0168067226890756,0.966942148760331,0.916666666666667,NA
0.4,"balanced","even",TRUE,"fixed",1,"enull",300,0.0747572123334557,0.0172502321405042,0.223422679760557,0.0391061452513966,0.983471074380165,0.0252100840336134,0.958677685950413,0.92,NA
0.4,"balanced","even",TRUE,"fixed",1,"dacomp",240,0.0747572123334557,-0.0872597988288234,0.241437461414211,0.0661764705882353,0.971153846153846,0.0380952380952381,0.971153846153846,0.8875,0.716666666666667
0.4,"balanced","even",TRUE,"fixed",1,"adapt",150,0.0747572123334557,0.0243425027504616,0.27993997980476,0.241379310344828,0.975206611570248,0.040650406504065,0.975206611570248,0.84,1
0.4,"balanced","even",TRUE,"fixed",1,"oracle",300,0.0747572123334557,0.000590758137757047,0.222150180578237,0.0446927374301676,0.983471074380165,0.0168067226890756,0.966942148760331,0.916666666666667,NA
0.05,"all_up","even",TRUE,"fixed",1,"none",300,0.0459666330262536,-0.0522239235770856,0.186347005982912,0.0492957746478873,1,0.0588235294117647,1,0.953333333333333,NA
0.05,"all_up","even",TRUE,"fixed",1,"clr",300,0.0459666330262536,-0.0623704091705144,0.18931411394851,0.0598591549295775,1,0.0588235294117647,1,0.943333333333333,NA
0.05,"all_up","even",TRUE,"fixed",1,"median",300,0.0459666330262536,-0.00501387476986806,0.179574000485829,0.0316901408450704,1,0.0588235294117647,1,0.97,NA
0.05,"all_up","even",TRUE,"fixed",1,"mode",300,0.0459666330262536,0.0162030417379633,0.180512622325307,0.0422535211267606,1,0.0588235294117647,1,0.96,NA
0.05,"all_up","even",TRUE,"fixed",1,"huber",300,0.0459666330262536,-0.0228062838741075,0.180713747996688,0.0422535211267606,1,0.0588235294117647,1,0.96,NA
0.05,"all_up","even",TRUE,"fixed",1,"enull",300,0.0459666330262536,-0.00442379267026716,0.179566283371647,0.0316901408450704,1,0.0588235294117647,1,0.97,NA
0.05,"all_up","even",TRUE,"fixed",1,"dacomp",240,0.0459666330262536,-0.0842240856169045,0.194434801647864,0.0491071428571429,1,0.0588235294117647,1,0.954166666666667,1
0.05,"all_up","even",TRUE,"fixed",1,"adapt",150,0.0459666330262536,0.0123371929081283,0.24518884383886,0.0671641791044776,1,0.0588235294117647,1,0.94,1
0.05,"all_up","even",TRUE,"fixed",1,"oracle",300,0.0459666330262536,-0.00625729055083196,0.179596607949521,0.0352112676056338,1,0.0588235294117647,1,0.966666666666667,NA
0.2,"all_up","even",TRUE,"fixed",1,"none",300,0.358912844480189,-0.340389280899562,0.394570605774103,0.410041841004184,0.918032786885246,0.571428571428571,0.836065573770492,0.566666666666667,NA
0.2,"all_up","even",TRUE,"fixed",1,"clr",300,0.358912844480189,-0.207882226768098,0.287184402102777,0.205020920502092,0.967213114754098,0.325581395348837,0.950819672131147,0.793333333333333,NA
0.2,"all_up","even",TRUE,"fixed",1,"median",300,0.358912844480189,-0.0459695785925668,0.201710867869384,0.0627615062761506,0.983606557377049,0.0634920634920635,0.967213114754098,0.94,NA
