"axis","simulator","template","regime_id","replicate","method","method_version","runtime_s","arm","truth_scale","n_tested","n_pos","fdr_05","tpr_05","n_rej_05","fdr_10","tpr_10","n_rej_10","pauc10","fpr05","fpr01","ks_null","shadow","est_bias","est_rmse","ci_cover"
"A","house","hmp_gingiva","R00",2,"maaslin3","1.2.0",15.415,"presence","rel",300,25,0,0.2,5,0.0769230769230769,0.48,13,0.685090909090909,0.0436363636363636,0.0109090909090909,0.0601663250809126,0.142857142857143,NA,NA,NA
"A","house","hmp_gingiva","R00",2,"maaslin3","1.2.0",15.415,"combined","abs",301,32,0.25,0.09375,4,0.0833333333333333,0.34375,12,0.483271375464684,0.0446096654275093,0.0111524163568773,0.089688512867932,NA,NA,NA,NA
"A","house","hmp_gingiva","R00",2,"maaslin3","1.2.0",15.415,"combined","rel",301,242,0,0.0165289256198347,4,0,0.0495867768595041,12,0.140776019050287,0.0169491525423729,0.0169491525423729,0.0832672174185521,NA,NA,NA,NA
"A","house","hmp_gingiva","R00",2,"aldex2","1.42.0",14.802,"single","abs",301,32,0,0.03125,1,0,0.03125,1,0.582016728624535,0.00371747211895911,0,0.244733304638994,NA,0.00920857105910287,0.741004269207845,NA
"A","house","hmp_gingiva","R00",2,"aldex2","1.42.0",14.802,"single","rel",301,242,0,0.00413223140495868,1,0,0.00413223140495868,1,0.119064294719148,0.0169491525423729,0,0.323999138420202,NA,-0.046226055985714,1.64243706042222,NA
"A","house","hmp_gingiva","R00",2,"corncob","0.4.2",11.853,"single","abs",301,32,0,0.0625,2,0.2,0.125,5,0.232342007434944,0.0706319702602231,0.0185873605947955,0.0700302211636482,NA,NA,NA,NA
"A","house","hmp_gingiva","R00",2,"corncob","0.4.2",11.853,"single","rel",301,242,0,0.00826446280991736,2,0,0.0206611570247934,5,0.408320493066256,0,0,0.466110802244395,NA,NA,NA,NA
"A","house","hmp_gingiva","R00",2,"ldm","6.0.1",4.99199999999999,"single","abs",301,32,0,0.34375,11,0,0.40625,13,0.526254646840149,0.0520446096654275,0.00371747211895911,0.040364312267658,NA,NA,NA,NA
"A","house","hmp_gingiva","R00",2,"ldm","6.0.1",4.99199999999999,"single","rel",301,242,0,0.0454545454545455,11,0,0.0537190082644628,13,0.36979969183359,0,0,0.370610169491525,NA,NA,NA,NA
"A","house","hmp_gingiva","R00",2,"locom","2.0",91.025,"single","abs",183,23,0,0.0869565217391304,2,0,0.173913043478261,4,0.423913043478261,0.03125,0.00625,0.102180203489825,NA,0.00990010061205188,0.589416114200248,NA
"A","house","hmp_gingiva","R00",2,"locom","2.0",91.025,"single","rel",183,138,0,0.0144927536231884,2,0,0.0289855072463768,4,0.349436392914654,0,0,0.406819659017049,NA,0.0334440244279282,0.373550243614249,NA
"A","house","hmp_gingiva","R00",2,"locom2","1.0",18.471,"single","abs",301,32,0,0.03125,1,0,0.03125,1,0.381040892193309,0.0371747211895911,0.0111524163568773,0.0738877243423153,NA,NA,NA,NA
"A","house","hmp_gingiva","R00",2,"locom2","1.0",18.471,"single","rel",301,242,0,0.00413223140495868,1,0,0.00413223140495868,1,0.392211794368959,0,0,0.484506419394593,NA,NA,NA,NA
"A","house","hmp_gingiva","R00",2,"zicoseq","1.9",55.904,"single","abs",301,32,0,0,0,0,0,0,0.522769516728624,0.0483271375464684,0.0111524163568773,0.0395762081784387,NA,NA,NA,NA
"A","house","hmp_gingiva","R00",2,"zicoseq","1.9",55.904,"single","rel",301,242,0,0,0,0,0,0,0.256338422748284,0,0,0.261610169491525,NA,NA,NA,NA
"A","house","hmp_gingiva","R00",2,"fastancom","0.0.4",0.0360000000000014,"single","abs",301,32,0,0.09375,3,0.0909090909090909,0.3125,11,0.56110594795539,0.0408921933085502,0.00371747211895911,0.0707048034152709,NA,-0.11419041424298,0.401789618561406,NA
"A","house","hmp_gingiva","R00",2,"fastancom","0.0.4",0.0360000000000014,"single","rel",301,242,0,0.012396694214876,3,0,0.0454545454545455,11,0.176495307466032,0.0169491525423729,0.0169491525423729,0.268553885585932,NA,-0.169625041287797,1.06296422824978,NA
"A","house","hmp_gingiva","R00",2,"adapt","1.4.0",0.468000000000018,"single","abs",301,32,0,0.40625,13,0.0625,0.46875,16,0.619191449814126,0.0520446096654275,0.00743494423791822,0.0547810352417064,NA,0.0412768874583138,1.11279168869643,NA
"A","house","hmp_gingiva","R00",2,"adapt","1.4.0",0.468000000000018,"single","rel",301,242,0,0.0537190082644628,13,0,0.0661157024793388,16,0.175094551057571,0.0169491525423729,0.0169491525423729,0.164131477380638,NA,-0.0141577395865031,0.853628659095751,NA
"A","house","hmp_gingiva","R00",2,"fastemu","2.3.2.0",666.345,"single","abs",301,32,0,0.03125,1,0,0.03125,1,0.324117100371747,0.0260223048327138,0.00743494423791822,0.111389062308225,NA,0.0437938576968813,1.24749232723428,0.891228070175439
"A","house","hmp_gingiva","R00",2,"fastemu","2.3.2.0",666.345,"single","rel",301,242,0,0.00413223140495868,1,0,0.00413223140495868,1,0.400616332819723,0,0,0.297553083330459,NA,-0.0116407693479355,0.494319246468709,1
"A","house","hmp_gingiva","R00",3,"wilcoxon_tss","4.5.3",0.184000000000001,"single","abs",268,30,0,0.233333333333333,7,0.0769230769230769,0.4,13,0.599439775910364,0.046218487394958,0.0126050420168067,0.0566523047481176,NA,-0.134936028479738,1.26903396513723,NA
"A","house","hmp_gingiva","R00",3,"wilcoxon_tss","4.5.3",0.184000000000001,"single","rel",268,216,0,0.0324074074074074,7,0,0.0601851851851852,13,0.166488603988604,0.0384615384615385,0.0192307692307692,0.158105881023559,NA,-0.0155494171966326,0.404260251245493,NA
"A","house","hmp_gingiva","R00",3,"lm_logtss","4.5.3",0.0629999999999988,"single","abs",268,30,0,0.0666666666666667,2,0,0.233333333333333,7,0.522408963585434,0.0336134453781513,0.00420168067226891,0.0449246924896269,NA,-0.0765644853043667,0.338907219294232,0.937007874015748
"A","house","hmp_gingiva","R00",3,"lm_logtss","4.5.3",0.0629999999999988,"single","rel",268,216,0,0.00925925925925926,2,0,0.0324074074074074,7,0.198539886039886,0.0192307692307692,0,0.274230641894784,NA,0.0428221259787388,0.984663124059037,0.551181102362205
"A","house","hmp_gingiva","R00",3,"limma_logtss","3.66.0",0.0459999999999994,"single","abs",268,30,0,0.0666666666666667,2,0,0.1,3,0.515406162464986,0.0336134453781513,0.00420168067226891,0.0514421458439071,NA,-0.0765644853043667,0.338907219294232,0.937007874015748
"A","house","hmp_gingiva","R00",3,"limma_logtss","3.66.0",0.0459999999999994,"single","rel",268,216,0,0.00925925925925926,2,0,0.0138888888888889,3,0.247507122507123,0.0192307692307692,0,0.281399595229253,NA,0.0428221259787388,0.984663124059037,0.551181102362205
"A","house","hmp_gingiva","R00",3,"logistic_presence","4.5.3",0.423999999999999,"single","abs",265,30,0,0.233333333333333,7,0.117647058823529,0.5,17,0.550354609929078,0.051063829787234,0.0127659574468085,0.136170117650706,NA,-0.0842957337756301,0.623980195679276,NA
"A","house","hmp_gingiva","R00",3,"logistic_presence","4.5.3",0.423999999999999,"single","rel",265,215,0.142857142857143,0.027906976744186,7,0.0588235294117647,0.0744186046511628,17,0.158139534883721,0.02,0.02,0.129597082343267,NA,0.0365078413068579,0.932428756826302,NA
"A","house","hmp_gingiva","R00",3,"pursue","0.2.0",12.56,"abundance","abs",268,16,1,0,1,1,0,2,0.19593253968254,0.0277777777777778,0.00793650793650794,0.0681639240498495,0.0714285714285714,-0.00996681717691454,0.650401299596235,0.964566929133858
"A","house","hmp_gingiva","R00",3,"pursue","0.2.0",12.56,"abundance","rel",268,16,1,0,1,1,0,2,0.19593253968254,0.0277777777777778,0.00793650793650794,0.0681639240498495,0.0714285714285714,0.109419794106191,1.04985123208486,0.854330708661417
"A","house","hmp_gingiva","R00",3,"pursue","0.2.0",12.56,"presence","abs",265,24,0,0.0833333333333333,2,0,0.125,3,0.4149377593361,0.033195020746888,0.004149377593361,0.132132335807809,0,NA,NA,NA
"A","house","hmp_gingiva","R00",3,"pursue","0.2.0",12.56,"presence","rel",265,24,0,0.0833333333333333,2,0,0.125,3,0.4149377593361,0.033195020746888,0.004149377593361,0.132132335807809,0,NA,NA,NA
"A","house","hmp_gingiva","R00",3,"pursue","0.2.0",12.56,"combined","abs",268,30,1,0,1,0.4,0.1,5,0.368347338935574,0.0210084033613445,0.00840336134453781,0.0766378758454959,NA,NA,NA,NA
"A","house","hmp_gingiva","R00",3,"pursue","0.2.0",12.56,"combined","rel",268,216,0,0.00462962962962963,1,0,0.0231481481481481,5,0.122863247863248,0,0,0.114752331889139,NA,NA,NA,NA
"A","house","hmp_gingiva","R00",3,"linda","1.4",0.311999999999998,"single","abs",268,30,0,0.266666666666667,8,0,0.5,15,0.644257703081232,0.0420168067226891,0,0.0241779527000524,NA,0.0764944641411816,0.327508063481942,0.929133858267717
"A","house","hmp_gingiva","R00",3,"linda","1.4",0.311999999999998,"single","rel",268,216,0,0.037037037037037,8,0.0666666666666667,0.0648148148148148,15,0.197649572649573,0.0192307692307692,0.0192307692307692,0.148320175315126,NA,0.195881075424287,1.03887651287425,0.47244094488189
"A","house","hmp_gingiva","R00",3,"ancombc2","2.12.0",86.124,"single","abs",268,30,0,0.0333333333333333,1,0,0.0333333333333333,1,0.151260504201681,0.474789915966387,0.352941176470588,0.46986693645779,NA,0.313423048031635,0.724734080870859,0.5
"A","house","hmp_gingiva","R00",3,"ancombc2","2.12.0",86.124,"single","rel",268,216,0,0.00462962962962963,1,0,0.00462962962962963,1,0.0881410256410256,0.423076923076923,0.326923076923077,0.552901442085451,NA,0.43280965931474,1.08026985706423,0.397637795275591
"A","house","hmp_gingiva","R00",3,"maaslin3","1.2.0",13.314,"abundance","abs",268,16,1,0,1,1,0,1,0.267857142857143,0.0198412698412698,0.00793650793650794,0.0476009798249683,0,-0.016110519668682,0.662730178475879,NA
"A","house","hmp_gingiva","R00",3,"maaslin3","1.2.0",13.314,"abundance","rel",268,16,1,0,1,1,0,1,0.267857142857143,0.0198412698412698,0.00793650793650794,0.0476009798249683,0,0.103276091614424,1.03289314593626,NA
"A","house","hmp_gingiva","R00",3,"maaslin3","1.2.0",13.314,"presence","abs",266,24,0,0.166666666666667,4,0,0.291666666666667,7,0.637052341597796,0.0495867768595041,0.00413223140495868,0.0731218866686872,0.166666666666667,NA,NA,NA
"A","house","hmp_gingiva","R00",3,"maaslin3","1.2.0",13.314,"presence","rel",266,24,0,0.166666666666667,4,0,0.291666666666667,7,0.637052341597796,0.0495867768595041,0.00413223140495868,0.0731218866686872,0.166666666666667,NA,NA,NA
"A","house","hmp_gingiva","R00",3,"maaslin3","1.2.0",13.314,"combined","abs",268,30,0.5,0.0333333333333333,2,0.25,0.2,8,0.556022408963585,0.0420168067226891,0.00840336134453781,0.144281776662405,NA,NA,NA,NA
"A","house","hmp_gingiva","R00",3,"maaslin3","1.2.0",13.314,"combined","rel",268,216,0,0.00925925925925926,2,0,0.037037037037037,8,0.161146723646724,0.0384615384615385,0.0192307692307692,0.0891386676171245,NA,NA,NA,NA
"A","house","hmp_gingiva","R00",3,"aldex2","1.42.0",12.795,"single","abs",268,30,0,0,0,0,0,0,0.532212885154062,0,0,0.297957230701344,NA,-0.00763120659871311,0.670550777413348,NA
"A","house","hmp_gingiva","R00",3,"aldex2","1.42.0",12.795,"single","rel",268,216,0,0,0,0,0,0,0.16292735042735,0.0192307692307692,0,0.381716184843132,NA,0.111755404684392,1.55653072398862,NA
"A","house","hmp_gingiva","R00",3,"corncob","0.4.2",12.304,"single","abs",268,30,1,0,1,0.75,0.0333333333333333,4,0.169467787114846,0.0756302521008403,0.0294117647058824,0.0867814490001374,NA,NA,NA,NA
"A","house","hmp_gingiva","R00",3,"corncob","0.4.2",12.304,"single","rel",268,216,0,0.00462962962962963,1,0,0.0185185185185185,4,0.441595441595442,0,0,0.438206854676056,NA,NA,NA,NA
